Entity,peak_7d_deaths_per_million,peak_date,cumulative_deaths_per_million,avg_daily_deaths_per_million,median_daily_deaths_per_million,volatility_std,estimated_wave_count,days_to_recover_from_main_peak,zero_share,severe_days_above_country_95th_percentile,cluster,cluster_label
United Kingdom,20.14405942857143,2021-01-26,3347.902718409,2.6761812297434053,1.3933845,3.91830923869872,4,38,0.030375699440447643,63,2,Extreme peak / high burden
United States,9.855592571428572,2021-01-19,3318.6767216823,2.6528191220482014,1.8634411,2.2978903959225785,7,75,0.042366107114308556,63,0,High burden / repeated waves
France,12.450497,2020-11-28,2610.2526420100003,2.0865328872981617,1.0356894,2.516778541701876,7,171,0.05275779376498801,63,0,High burden / repeated waves
Germany,10.975128,2020-12-26,2080.0255491972002,1.6626902871280578,0.97179157,2.0830907312086135,8,59,0.02238209432454037,63,0,High burden / repeated waves
Canada,4.338039671428572,2020-05-12,1362.3205800626001,1.0889852758294165,0.85004973,0.979682187146866,9,43,0.05675459632294165,63,1,Lower burden / lower peaks
India,2.909655042857143,2021-05-24,373.14351797302004,0.2982761934236771,0.10082219,0.5313173697136341,5,42,0.051159072741806554,63,1,Lower burden / lower peaks
