Entity,month,deaths_per_million
United Kingdom,2021-11,69.2899718
United Kingdom,2021-12,58.6604393
United Kingdom,2022-01,94.7208109
United Kingdom,2022-02,63.4272818
United Kingdom,2022-03,60.275927100000004
United Kingdom,2022-04,79.4103436
United Kingdom,2022-05,37.31127515
United Kingdom,2022-06,19.46547641
United Kingdom,2022-07,52.04133943
United Kingdom,2022-08,38.27302449
United Kingdom,2022-09,20.96781752
United Kingdom,2022-10,43.74598687
United Kingdom,2022-11,30.55807412
United Kingdom,2022-12,36.87963972
United Kingdom,2023-01,50.7799596
United Kingdom,2023-02,29.04316141
United Kingdom,2023-03,43.6936044
United Kingdom,2023-04,35.1950064
United Kingdom,2023-05,19.83006135
United Kingdom,2023-06,4.8422730099999995
United States,2020-01,0.0
United States,2020-02,0.00041828083
United States,2020-03,5.32722471147
United States,2020-04,155.7564873
United States,2020-05,137.9778801
United States,2020-06,68.8569724
United States,2020-07,82.026963
United States,2020-08,94.692088
United States,2020-09,65.5625928
United States,2020-10,65.5763959
United States,2020-11,113.4787547
United States,2020-12,220.0412339
United States,2021-01,284.377007
United States,2021-02,210.2011766
United States,2021-03,109.3310802
United States,2021-04,62.0452692
United States,2021-05,52.071363
United States,2021-06,30.00453905
United States,2021-07,24.68567981
United States,2021-08,82.7761029
United States,2021-09,157.5810286
United States,2021-10,144.472944
United States,2021-11,101.1101886
United States,2021-12,116.6480669
United States,2022-01,179.2981714
United States,2022-02,194.1881312
United States,2022-03,103.2130952
United States,2022-04,40.27040536
United States,2022-05,29.89536782
United States,2022-06,28.42678326
United States,2022-07,36.4590303
United States,2022-08,42.2911201
United States,2022-09,35.6935765
United States,2022-10,35.31963321
United States,2022-11,30.80303602
United States,2022-12,33.8640172
United States,2023-01,44.7393181
United States,2023-02,35.6279064
United States,2023-03,26.1212194
United States,2023-04,17.89698112
United States,2023-05,16.65636117
United States,2023-06,3.31111097
