Entity,Code,Day,deaths_per_million,rolling_7d,year,month,quarter,is_weekend,daily_change,pct_change
United States,USA,2022-01-25,6.7899528,6.4265862714285715,2022,2022-01,2022Q1,False,0.036390299999999876,0.0053883117243676
United States,USA,2022-01-26,7.3466845,6.606327528571429,2022,2022-01,2022Q1,False,0.5567317000000003,0.0819934565671796
United States,USA,2022-01-27,7.7181177,6.871816285714286,2022,2022-01,2022Q1,False,0.37143319999999935,0.05055793535165409
United States,USA,2022-01-28,7.78086,7.0997195714285715,2022,2022-01,2022Q1,False,0.06274230000000003,0.008129223009905706
United States,USA,2022-01-29,7.7796054,7.284300985714286,2022,2022-01,2022Q1,True,-0.0012545999999993285,-0.00016124181645726932
United States,USA,2022-01-30,7.6976223,7.409486457142857,2022,2022-01,2022Q1,True,-0.08198310000000042,-0.01053820801759442
United States,USA,2022-01-31,7.82227,7.562158957142857,2022,2022-01,2022Q1,False,0.1246476999999997,0.016193013263329448
United States,USA,2022-02-01,7.80763,7.707541414285714,2022,2022-02,2022Q1,False,-0.014639999999999986,-0.0018715794775685524
United States,USA,2022-02-02,7.8055387,7.773092014285715,2022,2022-02,2022Q1,False,-0.002091300000000018,-0.0002678533690761986
United States,USA,2022-02-03,8.03392,7.81820662857143,2022,2022-02,2022Q1,False,0.22838130000000056,0.02925887741739097
United States,USA,2022-02-04,7.954028,7.842944914285714,2022,2022-02,2022Q1,False,-0.07989200000000007,-0.009944336015295208
United States,USA,2022-02-05,7.877483,7.856927428571429,2022,2022-02,2022Q1,True,-0.07654500000000031,-0.009623426017610237
United States,USA,2022-02-06,7.802611,7.8719258142857145,2022,2022-02,2022Q1,True,-0.07487200000000005,-0.009504558753094083
United States,USA,2022-02-07,7.6930213,7.853461714285714,2022,2022-02,2022Q1,False,-0.1095896999999999,-0.014045259977717661
United States,USA,2022-02-08,7.604764,7.8244808571428575,2022,2022-02,2022Q1,False,-0.08825729999999954,-0.011472384718341999
United States,USA,2022-02-09,7.8231063,7.826990514285714,2022,2022-02,2022Q1,False,0.21834229999999977,0.028711252577989343
United States,USA,2022-02-10,7.709334,7.7806210857142855,2022,2022-02,2022Q1,False,-0.11377229999999994,-0.014543110580000684
